,name,id,image,current_team_logo,current_team_color,birth_country_name,passport_country_names,current_team_name,market_value,total_matches,minutes_on_field,last_club_name,positions,age,contract_expires,goals,xg_shot,assists,xg_assist,duels_avg,duels_won,foot,height,weight,on_loan,successful_defensive_actions_avg,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,tackle_avg,possession_adjusted_tackle,shot_block_avg,interceptions_avg,possession_adjusted_interceptions,fouls_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,successful_attacking_actions_avg,goals_avg,non_penalty_goal,non_penalty_goal_avg,xg_shot_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,assists_avg,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,offensive_duels_avg,offensive_duels_won,touch_in_box_avg,progressive_run_avg,accelerations_avg,received_pass_avg,received_long_pass_avg,foul_suffered_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,xg_assist_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,smart_passes_avg,accurate_smart_passes_percent,key_passes_avg,passes_to_final_third_avg,accurate_passes_to_final_third_percent,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,through_passes_avg,successful_through_passes_percent,deep_completed_pass_avg,deep_completed_cross_avg,progressive_pass_avg,successful_progressive_pass_percent,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent
426,J. Lyden,276346,https://cdn5.wyscout.com/photos/players/public/g276346_100x130.png,https://cdn5.wyscout.com/photos/team/public/g35055_120x120.png,000000,Australia,"['Australia', 'England']",Hereford FC,0,13,948,Hereford FC,"['RCMF', 'LDMF', 'LCMF']",28.0,2024-06-30,0,0.47,1,0.53,16.61,55.43,right,178,70,False,8.16,4.65,77.55,3.04,40.63,0.76,1.09,0.38,3.8,5.43,0.76,4,0.38,0,0.0,1.42,0.0,0,0.0,0.04,0,0.0,4,0.38,0.0,0.0,0.09,0.57,33.33,0.28,33.33,0.19,50.0,0.0,1.99,57.14,5.6,50.85,0.95,0.76,0.38,23.35,0.19,2.09,40.35,84.24,13.48,70.42,7.12,94.67,14.05,90.54,36.93,88.17,2.85,43.33,17.71,26.49,0.05,0.76,0.0,0.0,0.66,14.29,0.38,5.98,60.32,1.52,43.75,0.85,11.11,0.47,0.19,5.13,79.63,0,,0,,0,0.0,0.0,0.0,,,0.66,,,0.09,0.0,0.0,0.19,0,0.0
427,S. Walker,323730,https://cdn5.wyscout.com/photos/players/public/g323730_100x130.png,https://cdn5.wyscout.com/photos/team/public/g20251_120x120.png,000000,England,['England'],King's Lynn Town,0,14,893,King's Lynn Town,"['DMF', 'LCB3']",37.0,2025-06-30,1,0.15,1,1.12,19.65,60.51,left,176,74,False,13.81,7.46,71.62,6.35,57.14,0.5,0.63,0.91,7.96,9.92,0.4,4,0.4,0,0.0,0.3,0.1,1,0.1,0.01,0,0.0,2,0.2,50.0,50.0,0.1,0.2,50.0,0.2,50.0,0.0,0.0,0.0,0.3,33.33,1.61,56.25,0.0,0.3,0.0,10.38,0.1,1.21,29.53,68.26,15.32,48.68,3.33,93.94,6.75,86.57,21.57,80.84,7.76,33.77,18.92,30.61,0.11,0.6,0.0,0.0,0.0,0.0,0.1,6.85,47.06,0.81,25.0,0.6,16.67,0.1,0.1,6.25,59.68,0,,0,,0,0.0,0.0,0.0,,,0.71,,,3.73,0.2,50.0,1.11,0,0.0
428,J. Margetts,331735,https://cdn5.wyscout.com/photos/players/public/g331735_100x130.png,https://cdn5.wyscout.com/photos/team/public/g20251_120x120.png,000000,England,['England'],King's Lynn Town,0,16,1229,King's Lynn Town,['CF'],30.0,2025-06-30,9,6.98,2,1.23,22.26,35.53,,175,70,False,3.3,4.03,45.45,4.91,26.87,0.07,0.1,0.0,1.39,1.87,1.68,3,0.22,1,0.07,1.98,0.66,7,0.51,0.51,0,0.0,35,2.56,45.71,25.714,0.15,0.51,42.86,0.29,25.0,0.22,66.67,0.07,1.9,30.77,7.4,36.63,3.15,1.17,0.07,9.67,2.56,1.98,14.13,64.25,3.22,38.64,3.59,85.71,3.88,56.6,13.25,64.64,0.37,80.0,13.94,7.77,0.09,0.44,0.0,0.07,0.0,0.0,0.29,1.9,42.31,0.88,41.67,0.07,0.0,0.29,0.22,1.17,81.25,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.15,0.15,50.0,0.0,2,100.0
429,K. Roberts,50447,https://cdn5.wyscout.com/photos/players/public/21722_100x130.png,https://cdn5.wyscout.com/photos/team/public/g16344_120x120.png,000000,England,['England'],Chester,0,34,3301,Chester,"['DMF', 'CB', 'LCB']",34.0,2025-06-30,0,2.31,0,0.32,15.46,53.44,right,173,89,False,8.94,6.19,63.88,4.55,47.9,0.68,0.99,0.38,4.31,6.25,0.87,8,0.22,0,0.0,0.6,0.0,0,0.0,0.06,0,0.0,17,0.46,23.53,0.0,0.0,0.57,33.33,0.14,20.0,0.44,37.5,0.05,0.27,90.0,1.55,45.61,0.41,0.41,0.03,16.79,0.19,0.55,32.74,78.1,13.93,64.77,2.73,89.0,12.08,90.29,26.5,85.8,5.67,46.63,20.68,35.69,0.01,0.19,0.03,0.0,0.05,100.0,0.05,5.75,58.29,1.09,30.0,0.35,23.08,0.25,0.25,6.79,62.25,0,,0,,0,0.0,0.0,0.0,,,0.82,,,0.0,0.0,0.0,0.05,0,0.0
430,E. Gumbs,358347,https://cdn5.wyscout.com/photos/players/public/g358347_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4918_120x120.png,000000,England,['England'],Warrington Town,0,21,1505,Warrington Town,"['LB', 'RB', 'RCB']",26.0,2024-06-30,0,0.62,0,0.52,18.0,57.48,right,177,76,False,9.93,6.82,66.67,4.25,57.75,0.78,1.13,0.42,4.6,6.7,0.36,3,0.18,0,0.0,1.2,0.0,0,0.0,0.04,0,0.0,6,0.36,33.33,0.0,0.0,0.24,25.0,0.12,0.0,0.12,50.0,0.0,1.5,64.0,3.11,46.15,0.54,1.14,0.12,17.16,1.14,0.36,30.2,75.05,17.52,67.58,1.61,85.19,8.01,88.06,24.94,81.29,5.02,46.43,18.36,32.94,0.03,0.36,0.0,0.0,0.06,100.0,0.06,5.08,64.71,1.14,36.84,0.66,27.27,0.24,0.06,9.39,65.61,0,,0,,0,0.0,0.0,0.0,,,0.42,,,0.0,0.0,0.0,0.0,0,0.0
431,J. Gosling,259175,https://cdn5.wyscout.com/photos/players/public/g259175_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4931_120x120.png,000000,England,"['England', 'Gibraltar']",Rushall Olympic,0,12,886,Rushall Olympic,"['AMF', 'RCMF3', 'CF']",30.0,2024-06-30,0,0.83,3,2.23,15.64,44.81,left,176,68,False,4.06,3.45,50.0,2.23,22.73,0.41,0.59,0.1,1.93,2.82,0.51,2,0.2,0,0.0,4.47,0.0,0,0.0,0.08,0,0.0,18,1.83,44.44,0.0,0.3,1.73,52.94,0.71,42.86,0.91,66.67,0.0,4.06,65.0,7.62,53.33,1.42,2.13,1.02,19.5,0.51,1.02,32.81,74.61,11.38,56.25,6.5,93.75,9.24,79.12,27.02,81.95,4.37,37.21,20.49,34.65,0.23,1.52,0.0,0.2,0.41,25.0,0.61,6.81,62.69,3.45,41.18,0.91,44.44,0.91,0.71,5.99,74.58,0,,0,,0,0.0,0.0,0.0,,,1.22,,,2.13,0.3,0.0,2.95,0,0.0
432,J. Murray,376293,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4918_120x120.png,000000,England,['England'],Warrington Town,0,1,1,Warrington Town,['LCMF3'],26.0,2024-06-30,0,0.0,0,0.0,,,,0,0,False,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
433,O. Shenton,363921,https://cdn5.wyscout.com/photos/players/public/g363921_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4904_120x120.png,000000,England,['England'],Chorley,0,16,675,Chorley,"['AMF', 'RCMF', 'LCMF']",26.0,2024-05-31,2,1.88,0,0.46,12.4,43.01,left,175,77,False,2.8,2.4,44.44,2.27,41.18,0.27,0.39,0.0,1.47,2.16,0.4,1,0.13,0,0.0,2.0,0.27,2,0.27,0.25,0,0.0,21,2.8,19.05,9.524,0.0,1.33,30.0,0.93,28.57,0.4,33.33,0.13,1.87,50.0,6.0,42.22,2.13,0.67,0.13,20.67,0.53,0.8,31.33,76.17,8.93,49.25,6.4,97.92,10.53,83.54,26.8,83.08,3.33,40.0,17.84,18.04,0.06,0.67,0.0,0.13,0.67,20.0,0.27,5.33,50.0,1.87,28.57,1.2,33.33,0.27,0.27,3.07,78.26,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.27,0.13,0.0,0.13,0,0.0
434,J. Rivers,384641,https://cdn5.wyscout.com/photos/players/public/g384641_100x130.png,https://cdn5.wyscout.com/photos/team/public/g24446_120x120.png,000000,England,['England'],Darlington 1883,0,29,1395,Darlington 1883,"['LW', 'LAMF', 'RW']",30.0,2024-06-30,1,2.69,4,1.68,28.39,40.45,right,168,66,False,8.0,8.39,54.62,3.68,29.82,0.84,1.17,0.06,2.58,3.59,1.29,1,0.06,0,0.0,3.42,0.06,1,0.06,0.17,1,0.06,13,0.84,46.15,7.692,0.26,2.32,25.0,1.61,24.0,0.71,27.27,0.45,4.39,50.0,12.19,32.8,3.1,1.16,0.45,18.39,1.61,1.23,31.29,76.08,9.61,63.76,7.94,95.12,7.94,75.61,26.52,82.24,2.52,56.41,16.8,23.74,0.11,0.97,0.0,0.0,0.45,57.14,0.32,2.97,58.7,2.0,51.61,0.39,50.0,0.52,0.65,4.19,66.15,0,,0,,0,0.0,0.0,0.0,,,0.13,,,0.0,0.0,0.0,0.9,0,0.0
435,M. Tootle,85474,https://cdn5.wyscout.com/photos/players/public/g85474_100x130.png,https://cdn5.wyscout.com/photos/team/public/g34054_120x120.png,000000,England,['England'],Peterborough Sports,0,25,1544,Peterborough Sports,"['LWB', 'RWB', 'LB']",33.0,2024-06-30,3,0.68,3,2.51,16.61,46.67,right,175,70,False,8.45,5.6,64.58,2.56,29.55,0.29,0.45,0.12,4.55,7.09,0.52,1,0.06,0,0.0,2.39,0.17,3,0.17,0.04,0,0.0,18,1.05,22.22,16.667,0.17,2.04,51.43,1.28,59.09,0.76,38.46,0.17,2.22,50.0,5.36,35.87,1.4,1.34,0.35,16.73,1.92,0.47,26.76,76.03,10.2,62.29,5.95,97.06,6.65,80.7,20.75,83.99,4.02,47.83,18.48,27.62,0.15,0.7,0.06,0.06,0.12,0.0,0.35,4.26,60.27,2.27,58.97,0.47,25.0,0.64,1.05,5.71,73.47,0,,0,,0,0.0,0.0,0.0,,,0.41,,,0.87,0.17,66.67,0.76,0,0.0
