,name,id,image,current_team_logo,current_team_color,birth_country_name,passport_country_names,current_team_name,market_value,total_matches,minutes_on_field,last_club_name,positions,age,contract_expires,goals,xg_shot,assists,xg_assist,duels_avg,duels_won,foot,height,weight,on_loan,successful_defensive_actions_avg,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,tackle_avg,possession_adjusted_tackle,shot_block_avg,interceptions_avg,possession_adjusted_interceptions,fouls_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,successful_attacking_actions_avg,goals_avg,non_penalty_goal,non_penalty_goal_avg,xg_shot_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,assists_avg,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,offensive_duels_avg,offensive_duels_won,touch_in_box_avg,progressive_run_avg,accelerations_avg,received_pass_avg,received_long_pass_avg,foul_suffered_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,xg_assist_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,smart_passes_avg,accurate_smart_passes_percent,key_passes_avg,passes_to_final_third_avg,accurate_passes_to_final_third_percent,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,through_passes_avg,successful_through_passes_percent,deep_completed_pass_avg,deep_completed_cross_avg,progressive_pass_avg,successful_progressive_pass_percent,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent,Unnamed: 0
80,A. Lund,-285873,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/3702_120x120.png,000000,England,['England'],Alfreton Town,0,46,4421,Alfreton Town,"['DMF', 'RDMF', 'LCMF']",25.0,,3,3.5,6,5.86,22.58,59.42,,0,0,False,10.48,7.82,65.89,8.24,68.4,0.37,0.53,0.39,4.97,7.14,1.55,5,0.1,0,0.0,1.55,0.06,3,0.06,0.07,1,0.02,38,0.77,31.58,7.895,0.12,2.54,29.6,0.75,32.43,1.79,28.41,0.63,0.86,57.14,2.44,50.0,0.98,0.35,0.04,9.51,0.2,0.98,27.03,61.75,13.94,53.43,3.3,95.06,6.72,64.85,18.65,71.18,5.96,45.39,22.23,32.93,0.12,1.02,0.04,0.02,0.06,100.0,0.22,7.06,51.01,3.36,33.33,0.75,24.32,0.65,0.83,7.94,65.64,0,,0,,0,0.0,0.0,0.0,,,0.92,,,0.0,0.0,0.0,0.0,0,0.0,
81,L. Waldock,-52049,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/3702_120x120.png,000000,England,['England'],Alfreton Town,0,42,3770,Alfreton Town,"['RCMF', 'AMF', 'LCMF']",23.0,2024-06-30,12,8.76,5,5.58,16.31,39.68,right,178,0,False,5.3,4.06,56.47,5.18,35.02,0.12,0.17,0.17,2.89,4.13,1.03,9,0.21,0,0.0,1.46,0.29,10,0.24,0.21,0,0.0,73,1.74,35.62,15.068,0.12,0.67,28.57,0.24,20.0,0.43,33.33,0.07,1.24,46.15,3.92,34.76,2.2,0.5,0.24,10.34,0.76,0.84,21.6,71.93,6.92,54.83,4.51,93.65,6.49,74.63,18.84,76.68,2.12,42.7,17.57,26.52,0.13,1.07,0.07,0.02,0.24,30.0,0.29,2.7,53.1,1.53,53.13,0.33,35.71,0.95,0.21,3.13,60.31,0,,0,,0,0.0,0.0,0.0,,,0.53,,,0.95,0.19,37.5,2.44,1,100.0,
82,G. Cantrill,468778,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/3702_120x120.png,000000,England,['England'],Alfreton Town,0,47,4673,Alfreton Town,"['LCMF', 'RCMF', 'LDMF']",24.0,2024-06-30,1,1.82,1,1.64,20.13,53.21,left,178,0,False,9.01,7.47,65.46,4.58,60.5,0.46,0.66,0.12,3.66,5.25,1.46,8,0.15,1,0.02,0.89,0.02,1,0.02,0.04,0,0.0,21,0.4,28.57,4.762,0.02,0.27,57.14,0.08,50.0,0.17,55.56,0.02,1.14,47.46,4.08,36.79,0.77,0.44,0.17,5.37,0.33,0.75,18.03,67.52,8.17,52.12,2.87,88.59,4.55,82.63,15.52,71.46,2.25,41.88,18.21,28.15,0.03,0.39,0.0,0.02,0.12,66.67,0.1,3.58,52.15,1.08,55.36,0.29,20.0,0.58,0.12,3.45,63.13,0,,0,,0,0.0,0.0,0.0,,,0.44,,,0.0,0.0,0.0,0.04,0,0.0,
83,J. Abbey,-286112,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g21855_120x120.png,000000,Netherlands,['Netherlands'],South Shields,0,34,2248,South Shields,"['RCMF3', 'LCMF3', 'AMF']",22.0,2024-06-30,4,2.6,4,3.54,16.09,45.52,right,191,0,False,5.97,5.56,60.43,3.52,35.23,0.04,0.07,0.16,2.56,4.24,1.0,4,0.16,0,0.0,1.68,0.16,4,0.16,0.1,0,0.0,35,1.4,25.71,11.429,0.16,1.36,29.41,0.44,36.36,0.92,26.09,0.28,1.2,66.67,5.36,40.3,1.96,1.2,0.32,31.67,0.68,0.84,43.76,86.64,11.93,76.17,10.49,95.8,14.29,88.8,41.04,89.37,1.4,60.0,16.69,21.56,0.14,1.08,0.04,0.0,0.28,42.86,0.44,4.84,70.25,1.64,51.22,0.32,37.5,0.96,0.36,5.73,79.02,0,,0,,0,0.0,0.0,0.0,,,0.76,,,0.24,0.2,40.0,0.08,0,0.0,
84,W. Jenkins,-213131,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g21855_120x120.png,000000,England,['England'],South Shields,0,16,1452,South Shields,"['LCMF3', 'RCMF3']",22.0,,2,1.17,6,2.37,25.41,45.12,,0,0,False,10.41,8.99,61.38,2.54,36.59,0.68,1.09,0.12,4.21,6.73,1.74,1,0.06,1,0.06,2.36,0.12,2,0.12,0.07,0,0.0,11,0.68,36.36,18.182,0.37,2.17,20.0,0.81,30.77,1.3,14.29,0.68,2.79,46.67,9.61,34.84,1.74,1.67,0.74,29.19,0.81,1.43,43.02,80.26,12.52,61.39,9.48,96.08,13.7,84.62,35.45,89.51,5.52,42.7,18.76,34.21,0.15,0.93,0.12,0.0,0.87,42.86,0.74,6.63,56.07,3.53,45.61,1.12,44.44,1.92,0.43,6.57,72.64,0,,0,,0,0.0,0.0,0.0,,,0.68,,,0.0,0.0,0.0,0.31,0,0.0,
85,R. Briggs,216418,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g21855_120x120.png,000000,England,['England'],South Shields,0,38,3284,South Shields,"['DMF', 'RCB']",32.0,2024-06-30,1,2.92,1,2.4,12.33,49.56,,0,0,False,9.15,5.45,56.78,2.52,41.3,0.63,1.03,0.41,5.43,8.88,0.63,5,0.14,1,0.03,0.88,0.03,0,0.0,0.08,0,0.0,26,0.71,26.92,3.846,0.03,0.69,28.0,0.14,40.0,0.49,27.78,0.11,0.77,35.71,1.89,37.68,0.36,0.77,0.08,43.6,0.3,0.33,60.29,80.73,25.51,66.92,5.26,93.23,22.5,92.45,49.49,87.15,10.11,52.85,22.03,39.97,0.07,0.77,0.0,0.08,0.6,36.36,0.22,12.36,62.31,2.96,41.67,2.25,37.8,1.01,0.25,12.74,73.33,0,,0,,0,0.0,0.0,0.0,,,1.23,,,0.9,0.11,50.0,1.18,2,50.0,
86,M. Smith,429618,https://cdn5.wyscout.com/photos/players/public/g429618_100x130.png,https://cdn5.wyscout.com/photos/team/public/g21855_120x120.png,000000,England,['England'],South Shields,0,38,3496,South Shields,"['DMF', 'RCMF3']",28.0,2024-06-30,1,2.67,4,3.43,13.85,52.04,right,178,70,False,8.57,5.69,59.73,2.96,43.48,0.51,0.84,0.39,4.66,7.61,0.9,7,0.18,0,0.0,1.0,0.03,1,0.03,0.07,0,0.0,31,0.8,19.35,3.226,0.1,0.72,42.86,0.21,37.5,0.49,42.11,0.05,0.67,57.69,2.34,48.35,0.62,0.62,0.13,33.34,0.36,0.7,47.03,76.46,18.97,59.16,5.9,93.01,15.86,89.12,36.76,85.43,9.58,44.62,21.69,38.76,0.09,0.67,0.13,0.0,0.31,50.0,0.23,10.61,52.91,2.88,41.96,1.47,33.33,1.06,0.33,9.47,70.92,0,,0,,0,0.0,0.0,0.0,,,0.95,,,0.44,0.05,0.0,0.23,1,0.0,
87,G. Horbury,-353177,https://cdn5.wyscout.com/photos/players/public/g-353177_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4904_120x120.png,000000,England,['England'],Chorley,0,21,919,Chorley,"['RCMF', 'LCMF']",19.0,,0,0.47,0,0.37,26.54,42.8,right,183,0,False,9.01,8.03,68.29,4.99,43.14,0.88,1.41,0.2,2.64,4.22,1.27,2,0.2,0,0.0,1.18,0.0,0,0.0,0.05,0,0.0,4,0.39,25.0,0.0,0.0,0.29,33.33,0.1,0.0,0.2,50.0,0.0,2.06,47.62,9.89,25.74,0.98,0.98,0.1,9.5,0.39,0.88,21.45,73.97,6.95,50.7,4.11,90.48,6.66,83.82,19.29,79.7,1.96,20.0,16.08,16.58,0.04,0.49,0.0,0.0,0.1,0.0,0.1,2.94,53.33,0.98,20.0,0.0,0.0,0.39,0.1,2.94,40.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.1,0,0.0,
88,J. Nolan,-231885,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4904_120x120.png,000000,England,['England'],Chorley,0,29,2611,Chorley,"['DMF', 'RDMF', 'LCMF']",22.0,,1,1.0,1,0.33,16.65,55.28,,0,0,False,10.27,7.65,68.92,2.93,52.94,0.45,0.6,0.1,4.55,6.1,0.52,6,0.21,0,0.0,0.86,0.03,1,0.03,0.03,0,0.0,9,0.31,33.33,11.111,0.03,0.45,38.46,0.07,50.0,0.34,40.0,0.07,0.79,69.57,3.21,38.71,0.52,0.9,0.17,17.79,0.24,0.69,32.64,77.93,11.55,58.21,4.72,90.51,12.2,91.24,27.44,85.05,4.76,40.58,20.91,33.72,0.01,0.24,0.0,0.0,0.07,50.0,0.14,5.86,57.65,0.86,44.0,0.28,12.5,0.24,0.21,5.79,65.48,0,,0,,0,0.0,0.0,0.0,,,0.41,,,0.1,0.0,0.0,0.0,0,0.0,
89,J. Hayes,-578970,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4806_120x120.png,000000,England,['England'],Banbury United,0,1,6,Banbury United,['RDMF'],,,0,0.0,0,0.0,,,,0,0,False,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.39,26.39,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,
90,L. Middleton,-571971,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4806_120x120.png,000000,England,['England'],Banbury United,0,6,251,Banbury United,"['LDMF', 'RDMF', 'AMF']",,,0,0.05,0,0.04,13.63,44.74,,0,0,False,7.17,4.66,53.85,3.23,44.44,0.36,0.4,0.0,4.3,4.8,0.36,0,0.0,0,0.0,0.72,0.0,0,0.0,0.02,0,0.0,2,0.72,0.0,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.0,0.36,1.43,50.0,3.94,27.27,0.0,0.0,0.0,10.04,0.36,0.36,20.44,73.68,6.81,57.89,3.94,90.91,5.02,78.57,19.72,76.36,0.36,0.0,16.28,5.58,0.01,0.36,0.0,0.0,0.0,0.0,0.0,2.87,75.0,0.36,0.0,0.0,0.0,0.0,0.0,3.94,36.36,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,
91,P. Njie,326886,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4806_120x120.png,000000,England,"['England', 'Gambia']",Banbury United,0,5,385,Banbury United,"['RDMF', 'LDMF', 'LCMF']",31.0,,0,0.04,0,0.06,22.21,43.16,,0,0,False,9.82,6.55,57.14,4.44,21.05,0.23,0.27,0.7,5.84,6.7,0.7,0,0.0,0,0.0,2.1,0.0,0,0.0,0.01,0,0.0,3,0.7,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,61.54,8.42,50.0,0.0,0.7,0.0,13.79,0.0,1.4,27.82,70.59,10.99,51.06,3.97,94.12,9.82,80.95,25.71,73.64,2.1,33.33,18.03,27.01,0.01,0.7,0.0,0.0,0.0,0.0,0.0,4.44,57.89,0.47,50.0,0.0,0.0,0.23,0.0,4.44,52.63,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,
92,K. Dawkins,-218774,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4813_120x120.png,000000,England,['England'],Gloucester City,0,4,260,Gloucester City,['LDMF'],20.0,2024-05-31,0,0.22,0,0.0,25.27,58.9,,0,0,False,14.19,10.04,68.97,4.5,61.54,0.35,0.48,0.69,6.92,9.68,2.42,1,0.35,0,0.0,0.35,0.0,0,0.0,0.08,0,0.0,3,1.04,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,4.15,33.33,0.69,0.35,0.0,8.65,0.35,0.69,33.23,70.83,14.54,45.24,4.15,100.0,9.35,85.19,28.04,79.01,5.19,26.67,17.3,24.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,53.85,1.04,0.0,0.0,0.0,0.0,0.0,5.88,47.06,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,
93,H. Lindley,-137884,https://cdn5.wyscout.com/photos/players/public/g-137884_100x130.png,https://cdn5.wyscout.com/photos/team/public/g24446_120x120.png,000000,England,['England'],Darlington 1883,0,14,1014,Darlington 1883,"['RDMF', 'RCMF', 'DMF']",21.0,,0,0.28,0,0.36,9.94,50.0,right,182,70,False,5.5,4.79,57.41,2.22,28.0,0.53,0.71,0.09,2.22,2.94,0.89,1,0.09,0,0.0,0.53,0.0,0,0.0,0.02,0,0.0,6,0.53,33.33,0.0,0.0,0.44,20.0,0.0,0.0,0.44,20.0,0.0,0.36,75.0,1.07,41.67,0.36,0.27,0.0,25.3,0.09,0.36,39.67,83.45,12.78,68.75,7.54,94.12,14.02,91.14,34.88,88.55,4.35,48.98,19.96,31.07,0.03,0.27,0.0,0.0,0.0,0.0,0.0,7.01,62.03,1.33,46.67,0.18,50.0,0.44,0.09,7.1,67.5,0,,0,,0,0.0,0.0,0.0,,,1.33,,,0.09,0.0,0.0,0.0,0,0.0,
94,R. Hughes,515554,https://cdn5.wyscout.com/photos/players/public/g515554_100x130.png,https://cdn5.wyscout.com/photos/team/public/g9100_120x120.png,000000,Wales,['Wales'],Curzon Ashton,0,27,1652,Curzon Ashton,"['DMF', 'LCMF3', 'RCMF']",22.0,2024-05-31,2,1.85,1,0.84,16.94,50.48,right,180,72,False,7.68,7.46,59.85,2.29,42.86,0.22,0.31,0.11,3.0,4.31,0.65,6,0.33,0,0.0,2.07,0.11,2,0.11,0.1,0,0.0,22,1.2,36.36,9.091,0.05,1.25,34.78,0.49,33.33,0.65,33.33,0.0,1.69,64.52,4.58,45.24,0.65,0.82,0.33,26.2,0.44,1.14,39.93,83.08,11.44,68.1,6.32,93.97,16.02,89.12,34.87,87.81,3.92,56.94,20.64,30.99,0.05,0.33,0.0,0.11,0.27,40.0,0.11,5.88,71.3,1.25,26.09,0.44,25.0,0.22,0.27,4.85,69.66,0,,0,,0,0.0,0.0,0.0,,,0.6,,,0.98,0.27,40.0,0.27,0,0.0,
95,T. Tonks,163693,https://cdn5.wyscout.com/photos/players/public/g163693_100x130.png,https://cdn5.wyscout.com/photos/team/public/2751_120x120.png,000000,England,['England'],Tamworth,0,38,2718,Tamworth,"['RDMF', 'RCMF', 'LDMF']",32.0,2025-06-30,2,1.54,0,4.37,15.33,53.35,,0,0,False,9.47,6.66,67.16,3.38,41.18,0.17,0.23,0.33,4.83,6.85,0.86,5,0.17,0,0.0,0.89,0.07,2,0.07,0.05,0,0.0,25,0.83,20.0,8.0,0.0,1.06,25.0,0.33,50.0,0.66,10.0,0.23,0.83,56.0,2.25,48.53,0.6,0.43,0.1,9.93,0.5,0.53,25.96,63.65,12.65,46.86,3.15,97.89,6.92,76.08,18.41,73.92,6.52,41.12,20.77,31.76,0.14,1.85,0.03,0.0,0.03,0.0,0.07,6.92,42.58,1.69,39.22,0.6,22.22,0.4,0.33,5.56,65.48,0,,0,,0,0.0,0.0,0.0,,,0.6,,,0.17,0.07,0.0,1.09,0,0.0,
96,J. Leesley,278966,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/330_120x120.png,0000ff,England,['England'],Scunthorpe United,0,14,1295,Kidderminster Harriers,"['DMF', 'LCMF3', 'RAMF']",30.0,2024-06-30,1,0.84,2,2.89,20.5,51.53,left,182,73,False,7.71,6.25,60.0,3.41,61.22,0.56,0.69,0.21,3.41,4.21,1.25,5,0.35,0,0.0,3.06,0.07,1,0.07,0.06,0,0.0,16,1.11,6.25,6.25,0.14,3.2,54.35,1.04,60.0,2.08,50.0,0.35,2.57,48.65,6.53,41.49,0.63,0.97,0.21,19.04,0.63,1.11,33.92,74.8,13.14,59.26,4.38,95.24,13.76,82.83,22.52,85.49,8.34,54.17,25.43,38.69,0.2,2.02,0.0,0.0,0.14,0.0,0.56,9.03,63.85,4.93,56.34,0.97,35.71,0.76,1.74,9.66,82.73,0,,0,,0,0.0,0.0,0.0,,,0.69,,,1.53,0.07,0.0,4.03,0,0.0,0.0
