,name,id,image,current_team_logo,current_team_color,birth_country_name,passport_country_names,current_team_name,market_value,total_matches,minutes_on_field,last_club_name,positions,age,contract_expires,goals,xg_shot,assists,xg_assist,duels_avg,duels_won,foot,height,weight,on_loan,successful_defensive_actions_avg,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,tackle_avg,possession_adjusted_tackle,shot_block_avg,interceptions_avg,possession_adjusted_interceptions,fouls_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,successful_attacking_actions_avg,goals_avg,non_penalty_goal,non_penalty_goal_avg,xg_shot_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,assists_avg,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,offensive_duels_avg,offensive_duels_won,touch_in_box_avg,progressive_run_avg,accelerations_avg,received_pass_avg,received_long_pass_avg,foul_suffered_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,xg_assist_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,smart_passes_avg,accurate_smart_passes_percent,key_passes_avg,passes_to_final_third_avg,accurate_passes_to_final_third_percent,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,through_passes_avg,successful_through_passes_percent,deep_completed_pass_avg,deep_completed_cross_avg,progressive_pass_avg,successful_progressive_pass_percent,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent,Unnamed: 0
70,C. Hargreaves,493608,https://cdn5.wyscout.com/photos/players/public/g493608_100x130.png,https://cdn5.wyscout.com/photos/team/public/g20251_120x120.png,000000,England,['England'],King's Lynn Town,0,39,3643,King's Lynn Town,"['RCMF', 'RCMF3']",25.0,2024-06-30,4,2.44,1,1.81,21.99,51.46,right,178,70,False,10.28,8.55,64.45,4.2,42.94,0.02,0.03,0.12,4.74,6.32,1.16,7,0.17,1,0.02,1.24,0.1,4,0.1,0.06,0,0.0,21,0.52,52.38,19.048,0.02,0.74,33.33,0.1,25.0,0.64,34.62,0.07,1.26,54.9,5.58,46.46,0.84,0.54,0.22,15.76,0.42,1.61,31.1,74.82,9.91,48.13,7.12,94.44,9.09,85.05,26.76,82.18,3.63,28.57,17.76,30.61,0.04,0.44,0.02,0.02,0.05,50.0,0.2,4.32,44.0,0.89,38.89,0.27,9.09,0.25,0.27,4.37,51.98,0,,0,,0,0.0,0.0,0.0,,,0.32,,,0.02,0.0,0.0,0.1,0,0.0,
71,C. Kirby,-52047,https://cdn5.wyscout.com/photos/players/public/g-52047_100x130.png,https://cdn5.wyscout.com/photos/team/public/g6882_120x120.png,000000,England,['England'],Buxton,0,41,4011,Buxton,"['LCMF', 'RCMF3', 'RCMF']",25.0,2024-06-30,5,7.29,2,2.51,16.78,48.66,right,172,0,False,8.01,7.25,57.89,2.89,47.29,0.49,0.77,0.29,3.32,5.15,1.68,12,0.27,0,0.0,1.44,0.11,3,0.07,0.16,0,0.0,67,1.5,28.36,7.463,0.04,1.12,36.0,0.54,29.17,0.58,42.31,0.11,0.9,55.0,3.23,45.14,0.92,0.56,0.31,21.36,0.63,0.67,37.29,77.02,12.95,59.62,6.91,94.48,12.63,85.79,29.8,85.09,6.39,46.67,20.89,37.02,0.06,0.65,0.0,0.0,0.22,50.0,0.34,7.49,57.19,1.91,41.18,0.83,37.84,0.74,0.43,7.67,74.85,0,,0,,0,0.0,0.0,0.0,,,0.7,,,0.74,0.09,0.0,0.29,3,66.667,
72,W. Morrisey,-565183,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g25837_120x120.png,000000,England,['England'],Farsley Celtic FC,0,1,24,Farsley Celtic FC,['RCMF3'],,,0,0.0,0,0.0,,,,0,0,False,,,,,,,7.5,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.37,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,
73,D. Lawlor,223267,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g34054_120x120.png,000000,England,['England'],Peterborough Sports,0,38,3529,Peterborough Sports,"['LCMF', 'LDMF']",29.0,,5,4.3,6,3.63,18.03,50.92,right,178,0,False,10.12,8.08,59.94,3.85,46.36,0.23,0.33,0.28,5.05,7.24,1.1,12,0.31,1,0.03,0.87,0.13,1,0.03,0.11,0,0.0,13,0.33,46.15,38.462,0.15,0.69,48.15,0.18,42.86,0.46,50.0,0.18,0.69,51.85,3.19,36.0,0.13,0.2,0.0,18.64,0.38,0.54,37.69,78.01,13.52,61.32,6.12,92.5,13.87,88.79,31.09,83.76,5.94,51.07,21.38,37.12,0.09,0.79,0.0,0.0,0.08,33.33,0.1,6.99,58.03,1.07,54.76,0.28,18.18,0.23,0.36,6.91,63.84,0,,0,,0,0.0,0.0,0.0,,,0.59,,,1.66,0.0,0.0,2.55,5,80.0,
74,Z. Scott,-535919,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4806_120x120.png,000000,England,['England'],Banbury United,0,7,161,Banbury United,"['LCMF', 'LCMF3', 'LDMF']",,,0,0.0,0,0.0,21.8,46.15,,0,0,False,11.74,9.5,52.94,2.8,20.0,0.56,0.81,0.0,6.15,8.92,1.12,1,0.56,0,0.0,3.91,0.0,0,0.0,0.0,0,0.0,1,0.56,0.0,0.0,0.0,1.12,0.0,1.12,0.0,0.0,0.0,0.0,5.03,77.78,7.83,57.14,0.0,1.12,0.0,11.74,0.56,0.56,26.27,46.81,8.94,43.75,5.03,44.44,8.94,62.5,21.24,52.63,3.91,28.57,21.84,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59,20.0,1.68,0.0,0.0,0.0,0.0,0.0,7.83,7.14,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,
75,C. Ward,-386939,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4806_120x120.png,000000,England,['England'],Banbury United,0,15,1212,Banbury United,"['LDMF', 'LCMF', 'RCMF']",20.0,,0,0.82,2,1.41,21.76,46.08,right,178,66,False,7.87,6.61,53.93,3.86,53.85,0.45,0.63,0.3,3.86,5.45,0.97,2,0.15,0,0.0,2.52,0.0,0,0.0,0.06,0,0.0,16,1.19,31.25,0.0,0.15,1.04,28.57,0.22,33.33,0.82,27.27,0.15,2.67,66.67,7.28,42.86,0.74,1.19,0.52,15.82,0.59,1.04,28.37,74.08,9.58,61.24,4.75,96.88,9.21,80.65,24.88,79.1,2.52,44.12,18.87,35.05,0.1,0.67,0.15,0.07,0.22,33.33,0.22,3.19,62.79,1.56,52.38,0.37,0.0,0.74,0.22,4.46,63.33,0,,0,,0,0.0,0.0,0.0,,,0.15,,,0.82,0.15,50.0,1.34,0,0.0,
76,I. Sinclair,-470826,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g9100_120x120.png,000000,England,['England'],Curzon Ashton,0,40,3507,Curzon Ashton,"['LCMF', 'LCMF3', 'AMF']",22.0,,6,4.46,0,2.57,20.33,49.24,right,0,0,False,7.19,4.82,65.43,3.7,51.39,0.49,0.68,0.31,3.54,4.91,0.74,2,0.05,0,0.0,2.64,0.15,6,0.15,0.11,0,0.0,55,1.41,36.36,10.909,0.0,1.26,24.49,0.44,23.53,0.82,25.0,0.15,2.82,60.91,8.52,44.88,1.49,1.49,0.44,20.02,1.0,1.62,30.44,78.33,8.39,59.63,6.57,94.14,9.57,84.45,26.18,84.61,3.03,46.61,16.83,30.63,0.07,0.62,0.08,0.0,0.21,50.0,0.23,3.52,58.39,1.44,32.14,0.46,38.89,0.44,0.31,4.16,66.67,0,,0,,0,0.0,0.0,0.0,,,0.05,,,0.0,0.0,0.0,0.03,0,0.0,
77,L. Griffiths,-213746,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g9100_120x120.png,000000,England,['England'],Curzon Ashton,0,7,416,Curzon Ashton,"['DMF', 'LCMF3']",25.0,,0,0.04,0,0.0,14.93,53.62,,0,0,False,9.52,6.49,63.33,3.89,50.0,1.08,1.56,0.0,4.33,6.25,1.08,2,0.43,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,30.0,0.0,0.0,0.0,22.28,0.0,0.43,41.11,77.37,14.71,51.47,6.49,90.0,15.58,93.06,33.1,86.93,8.0,37.84,21.48,35.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,64.29,1.3,0.0,1.3,16.67,0.0,0.0,6.49,66.67,0,,0,,0,0.0,0.0,0.0,,,1.51,,,0.0,0.0,0.0,0.0,0,0.0,
78,A. Barton,92908,https://cdn5.wyscout.com/photos/players/public/40582_100x130.png,https://cdn5.wyscout.com/photos/team/public/g9100_120x120.png,000000,Northern Ireland,"['Northern Ireland', 'Republic of Ireland']",Curzon Ashton,0,45,4378,Curzon Ashton,"['RCMF', 'RCMF3', 'DMF']",33.0,2025-06-30,3,4.88,1,1.47,10.36,49.6,right,190,77,False,6.15,3.8,60.54,2.26,61.82,0.16,0.23,0.23,3.68,5.09,0.62,4,0.08,0,0.0,0.74,0.06,3,0.06,0.1,1,0.02,36,0.74,41.67,8.333,0.02,0.43,33.33,0.12,33.33,0.31,33.33,0.06,0.33,56.25,2.14,25.0,1.15,0.6,0.08,20.41,0.74,0.25,33.84,83.23,9.56,67.96,7.22,95.16,11.31,88.55,30.79,86.78,2.63,49.22,17.74,31.53,0.03,0.35,0.04,0.02,0.19,55.56,0.21,4.73,74.35,0.9,54.55,0.21,30.0,0.53,0.14,4.83,62.98,0,,0,,0,0.0,0.0,0.0,,,0.47,,,0.0,0.0,0.0,0.0,0,0.0,
79,A. Kenyon,245114,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g9100_120x120.png,000000,England,['England'],Curzon Ashton,0,30,2300,Curzon Ashton,"['LCMF', 'DMF']",31.0,2024-06-30,3,2.04,0,0.08,13.07,54.19,,182,76,False,9.35,5.99,56.86,3.83,52.04,0.27,0.36,0.7,5.67,7.42,0.94,8,0.31,0,0.0,0.51,0.12,3,0.12,0.08,0,0.0,12,0.47,33.33,25.0,0.0,0.35,55.56,0.27,57.14,0.0,0.0,0.0,0.31,50.0,1.06,37.04,0.43,0.04,0.04,24.03,0.08,0.35,38.58,77.28,17.3,60.41,3.87,96.97,12.83,92.38,31.34,84.02,6.97,47.19,21.69,33.58,0.0,0.16,0.04,0.0,0.08,0.0,0.04,8.37,59.35,1.21,35.48,0.67,11.76,0.27,0.16,8.22,69.52,0,,0,,0,0.0,0.0,0.0,,,0.35,,,0.16,0.0,0.0,0.0,0,0.0,
